epoch,time_s,lr,gpu_peak_mem_gb,train_loss,train_loss_base,train_mse,train_mass,train_solid,train_tv,train_loss_plume_focus,train_loss_active_mae,train_active_fraction,train_high_fraction,val_loss,val_loss_base,val_mse,val_mass,val_solid,val_tv,val_loss_plume_focus,val_loss_active_mae,val_active_fraction,val_high_fraction,val_rmse,val_mae,val_r2,val_rel_err,val_plume_rmse,val_plume_mae,val_plume_r2,val_plume_rel_err,val_plume_voxel_fraction,val_acc,val_macro_f1,val_weighted_f1,selection_cases,selection_rmse,selection_mae,selection_plume_rmse,selection_plume_mae,selection_acc,selection_macro_f1,selection_weighted_f1,selection_metric,selection_score
13,271.54,2.969e-04,31.514,0.016698,0.005827,0.004905,0.007952,0.00118,0.000907,0.004087,0.045224,0.000694,0.000693,0.014274,0.00453,0.003751,0.006699,0.001001,0.000836,0.003489,0.041706,0.000538,0.000536,17767.5957,69.2894,-0.001616,1.403256,727016.1875,80205.0469,-0.013032,0.96849,0.000596,0.9853,0.183854,0.992089,16,2452.1625,12.4886,134754.9603,25920.4511,0.990367,0.179458,0.994762,selection_plume_rmse,134754.960266
14,267.95,2.964e-04,31.514,0.016664,0.005543,0.004666,0.007555,0.001128,0.000869,0.004162,0.046397,0.000683,0.000682,0.018427,0.006206,0.005299,0.007821,0.001164,0.000906,0.003936,0.055228,0.000538,0.000536,18080.0879,108.7236,-0.037158,2.201883,726992.375,82160.4609,-0.012966,0.992102,0.000596,0.983575,0.179622,0.991201,16,2782.1363,31.1324,136441.1534,27605.4407,0.991049,0.182114,0.995139,selection_plume_rmse,136441.153358
15,268.06,2.959e-04,31.514,0.016525,0.005497,0.004643,0.007317,0.001134,0.000848,0.004094,0.046227,0.000692,0.00069,0.014784,0.005021,0.004194,0.007222,0.000974,0.000787,0.003203,0.043729,0.000538,0.000536,17754.8711,70.1235,-0.000181,1.420148,727020.6875,80458.2578,-0.013044,0.971547,0.000596,0.983557,0.180531,0.991193,16,2441.5695,10.2579,134749.7223,25883.9067,0.989471,0.176339,0.99435,selection_plume_rmse,134749.72226
16,272.13,2.953e-04,31.514,0.016442,0.005657,0.004777,0.007593,0.001114,0.000862,0.003946,0.045593,0.000691,0.000689,0.016542,0.004689,0.003925,0.006714,0.00085,0.00083,0.004292,0.050406,0.000538,0.000536,23361.1855,109.6199,-0.731544,2.220035,726984.0625,80771.4766,-0.012942,0.97533,0.000596,0.985822,0.18195,0.992353,16,2563.9009,15.6112,134874.0299,26038.2973,0.990774,0.182807,0.994985,selection_plume_rmse,134874.029877
17,271.75,2.947e-04,31.514,0.016373,0.005481,0.004633,0.007296,0.001097,0.000849,0.004116,0.045174,0.000689,0.000687,0.014368,0.004878,0.004113,0.006595,0.00098,0.000795,0.003387,0.040682,0.000538,0.000536,20494.582,88.6119,-0.332668,1.794578,727022.1875,80245.1641,-0.013049,0.968974,0.000596,0.984745,0.182763,0.991801,16,2538.3188,26.7801,136380.8415,28590.3459,0.989442,0.183309,0.994274,selection_plume_rmse,136380.841492
18,277.77,2.941e-04,31.514,0.016474,0.005669,0.004793,0.007591,0.001084,0.000862,0.004036,0.045124,0.000689,0.000687,0.01468,0.004136,0.003493,0.00547,0.000886,0.00071,0.004017,0.043515,0.000538,0.000536,17754.4961,68.3888,-0.000139,1.385018,727021.5,80182.2031,-0.013047,0.968214,0.000596,0.987762,0.187381,0.993348,16,2465.1454,13.1815,134635.3392,25639.0593,0.991993,0.187713,0.995603,selection_plume_rmse,134635.339172
19,269.4,2.934e-04,31.514,0.015819,0.005321,0.004507,0.007012,0.00104,0.000823,0.003899,0.043994,0.000683,0.000681,0.013853,0.004264,0.003577,0.0058,0.001,0.000728,0.003232,0.042378,0.000538,0.000536,17753.8945,66.182,-7.1e-05,1.340326,727018.0625,80245.3594,-0.013037,0.968977,0.000596,0.986475,0.184991,0.992695,16,2441.6656,9.1055,134642.4308,25713.8031,0.991975,0.182503,0.995604,selection_plume_rmse,134642.430794
20,272.57,2.927e-04,31.514,0.014812,0.005002,0.004236,0.006573,0.00101,0.000788,0.00356,0.041668,0.000687,0.000686,0.013481,0.004735,0.004039,0.00597,0.000915,0.000733,0.002912,0.038895,0.000538,0.000536,17754.7715,74.9462,-0.00017,1.517819,726990.125,80125.7656,-0.012959,0.967533,0.000596,0.986056,0.183456,0.992469,16,2526.1348,17.3838,134669.3335,25800.6512,0.989984,0.182233,0.994572,selection_plume_rmse,134669.333511
21,287.51,2.919e-04,31.514,0.015524,0.00505,0.004295,0.006434,0.001043,0.000781,0.003776,0.044649,0.000696,0.000694,0.013032,0.004597,0.003912,0.00585,0.000918,0.000733,0.002732,0.038022,0.000538,0.000536,17754.3145,72.2996,-0.000119,1.46422,727001.125,80039.3984,-0.01299,0.96649,0.000596,0.986703,0.183729,0.9928,16,2495.6748,11.2502,134647.3613,25663.6935,0.992072,0.190109,0.995659,selection_plume_rmse,134647.361298
22,269.17,2.912e-04,31.514,0.014907,0.005002,0.004251,0.006457,0.000979,0.000785,0.00366,0.041636,0.000686,0.000684,0.014529,0.005916,0.005041,0.007641,0.001021,0.000881,0.003014,0.037327,0.000538,0.000536,17791.4844,90.0675,-0.004311,1.824056,726985.0,79970.5312,-0.012945,0.965658,0.000596,0.982395,0.179151,0.990596,16,2526.0507,27.1242,134725.9932,25856.6415,0.986898,0.179616,0.992974,selection_plume_rmse,134725.993156
